coords,zipcode
"34.14,-118.32",90068
"34.28,-118.31",91040
"34.14,-118.28",90027
"34.12,-118.27",90039
"34.27,-118.36",91342
"34.09,-118.57",90272
"34.23,-118.29",91352
"34.24,-118.31",91352
"34.1,-118.48",90049
"33.92,-118.26",90059
"34.14,-118.52",91316
"34.29,-118.39",91342
"34.09,-118.49",90049
"34.23,-118.41",91331
"34.3,-118.55",91326
"34.09,-118.48",90049
"33.86,-118.2",90805
"34.18,-118.5",91316
"34.13,-118.52",90049
"34.01,-118.5",90401
"34.27,-118.33",91040
"33.73,-118.26",90731
"34.24,-118.34",91352
"34.33,-118.41",91342
"34.26,-118.27",91042
"33.78,-118.29",90744
"34.31,-118.49",91344
"34.23,-118.27",91352
"34.07,-118.42",90210
"33.95,-118.45",90293
"34.33,-118.47",91342
"34.06,-118.22",90031
"34.22,-118.66",91304
"33.88,-118.38",90266
"33.79,-118.09",90720
"34.08,-118.52",90272
"34.01,-118.37",90008
"33.71,-118.31",90731
"33.92,-118.37",90250
"34.28,-118.35",91342
"33.95,-118.41",90045
"34.11,-118.41",90210
"33.76,-118.16",90803
"34.1,-118.44",90210
"34.15,-118.29",90027
"34.22,-118.34",91352
"33.72,-118.28",90731
"34.09,-118.53",90272
"33.98,-118.39",90230
"34.16,-118.38",91601
"33.98,-118.26",90052
"34.15,-118.19",91206
"34.27,-118.63",91311
"34.1,-118.2",90042
"34.23,-118.28",91352
"33.76,-118.26",90744
"34.22,-118.39",91605
"34.05,-118.45",90073
"34.08,-118.59",90265
"33.97,-118.44",90292
"33.95,-118.4",90045
"34.06,-118.56",90272
"34.23,-118.31",91352
"34.08,-118.45",90077
"33.77,-118.25",90744
"33.95,-118.42",90045
"34.11,-118.46",90077
"33.94,-118.39",90045
"34.12,-118.29",90027
"34.1,-118.49",90049
"34.58,-118.01",93552
"34.14,-118.51",91436
"34.12,-118.46",90077
"34.07,-118.24",90012
"33.93,-118.43",90293
"34.1,-118.24",90065
"34.09,-118.5",90049
"33.76,-118.28",90744
"34.04,-118.34",90016
"34.15,-118.37",91602
"34.17,-118.47",91411
"34.27,-118.35",91342
"34.55,-118.1",93550
"33.94,-118.38",90045
"33.73,-118.24",90731
"34.3,-118.53",91344
"34.24,-118.66",91304
"33.98,-118.43",90292
"34.18,-118.67",91302
"34.29,-118.59",91311
"34.13,-118.55",91356
"34.06,-118.52",90272
"34.14,-118.54",91356
"34.33,-118.45",91342
"33.95,-118.43",90045
"34.27,-118.34",91040
"34.12,-118.47",90077
"34.33,-118.49",91342
"33.74,-118.26",90731
"34.23,-118.63",91304
"33.78,-118.22",90813
"33.8,-118.28",90744
"33.75,-118.25",90731
"34.14,-118.58",91364
"34.79,-118.32",93536
"34.27,-118.38",91342
"34.3,-118.54",91344
"34.0,-118.38",90230
"34.26,-118.38",91352
"33.74,-118.24",90802
"34.25,-118.32",91042
"34.31,-118.52",91344
"34.17,-118.48",91436
"34.3,-118.59",91311
"34.11,-118.47",90077
"34.24,-118.35",91352
