Year,Median household income,zipcode
2011,45893,89010
2011,35825,89019
2011,39211,89060
2011,44722,89061
2011,62008,89439
2011,36386,90001
2011,31810,90002
2011,28334,90003
2011,37839,90004
2011,32955,90005
2011,29594,90006
2011,22049,90007
2011,37798,90008
2011,50288,90010
2011,30118,90011
2011,25028,90012
2011,16284,90013
2011,12015,90014
2011,25911,90015
2011,35858,90016
2011,21050,90017
2011,35126,90018
2011,40727,90019
2011,39103,90020
2011,13576,90021
2011,37262,90022
2011,33340,90023
2011,67151,90024
2011,71947,90025
2011,45560,90026
2011,47980,90027
2011,31415,90028
2011,36281,90029
2011,34597,90031
2011,44759,90032
2011,29524,90033
2011,57577,90034
2011,70273,90035
2011,72981,90036
2011,28377,90037
2011,34723,90038
2011,64533,90039
2011,48610,90040
2011,62700,90041
2011,53283,90042
2011,42379,90043
2011,29459,90044
2011,80311,90045
2011,51929,90046
2011,43538,90047
2011,77855,90048
2011,113158,90049
2011,91288,90056
2011,27155,90057
2011,16972,90058
2011,32455,90059
2011,34263,90061
2011,34051,90062
2011,38691,90063
2011,79038,90064
2011,56090,90065
2011,64445,90066
2011,94107,90067
2011,72821,90068
2011,74262,90069
2011,,90071
2011,,90073
2011,184338,90077
2011,,90079
2011,9219,90089
2011,,90090
2011,86579,90094
2011,,90095
2011,38482,90201
2011,129539,90210
2011,74212,90211
2011,78575,90212
2011,42974,90220
2011,43184,90221
2011,42622,90222
2011,68870,90230
2011,70341,90232
2011,69032,90240
2011,57846,90241
2011,56831,90242
2011,88486,90245
2011,41560,90247
2011,58692,90248
2011,57281,90249
2011,47411,90250
2011,102289,90254
2011,37274,90255
2011,51864,90260
2011,43889,90262
2011,,90263
2011,127059,90265
2011,132752,90266
2011,38155,90270
2011,158381,90272
2011,153621,90274
2011,116708,90275
2011,92577,90277
2011,100776,90278
2011,41990,90280
2011,128750,90290
2011,74046,90291
2011,100361,90292
2011,92664,90293
2011,38115,90301
2011,43835,90302
2011,42707,90303
2011,36732,90304
2011,65029,90305
2011,54702,90401
2011,135081,90402
2011,71184,90403
2011,55064,90404
2011,77642,90405
2011,57261,90501
2011,65243,90502
2011,75102,90503
2011,71223,90504
2011,77519,90505
2011,,90506
2011,69857,90601
2011,51789,90602
2011,83821,90603
2011,65109,90604
2011,71592,90605
2011,60381,90606
2011,74804,90620
2011,54607,90621
2011,84218,90623
2011,83360,90630
2011,66985,90631
2011,81692,90638
2011,52206,90640
2011,60090,90650
2011,55676,90660
2011,53694,90670
2011,53774,90680
2011,58534,90701
2011,87522,90703
2011,49142,90704
2011,50244,90706
2011,56565,90710
2011,82337,90712
2011,85131,90713
2011,68120,90715
2011,42770,90716
2011,59856,90717
2011,90000,90720
2011,42831,90723
2011,49226,90731
2011,91979,90732
2011,50648,90740
2011,69617,90742
2011,100357,90743
2011,40792,90744
2011,69330,90745
2011,76692,90746
2011,,90747
2011,70236,90755
2011,45094,90802
2011,70007,90803
2011,43489,90804
2011,44244,90805
2011,41932,90806
2011,68254,90807
2011,93787,90808
2011,51123,90810
2011,30622,90813
2011,54606,90814
2011,88024,90815
2011,,90822
2011,,90831
2011,86357,91001
2011,81660,91006
2011,70455,91007
2011,103490,91008
2011,62563,91010
2011,147481,91011
2011,67787,91016
2011,68898,91020
2011,84487,91024
2011,84914,91030
2011,73260,91040
2011,57922,91042
2011,22656,91046
2011,55305,91101
2011,58287,91103
2011,65458,91104
2011,116687,91105
2011,65424,91106
2011,81294,91107
2011,157535,91108
2011,47850,91201
2011,69265,91202
2011,40853,91203
2011,40050,91204
2011,36741,91205
2011,55364,91206
2011,87634,91207
2011,89663,91208
2011,76250,91210
2011,87249,91214
2011,108357,91301
2011,126958,91302
2011,46599,91303
2011,58423,91304
2011,60506,91306
2011,90785,91307
2011,78646,91311
2011,59522,91316
2011,104644,91320
2011,58130,91321
2011,63369,91324
2011,60033,91325
2011,102602,91326
2011,,91330
2011,49842,91331
2011,53842,91335
2011,51428,91340
2011,61648,91342
2011,53417,91343
2011,77642,91344
2011,62518,91345
2011,99876,91350
2011,74649,91351
2011,48632,91352
2011,104574,91354
2011,86721,91355
2011,69875,91356
2011,91105,91360
2011,103466,91361
2011,108435,91362
2011,98206,91364
2011,80291,91367
2011,,91371
2011,128618,91377
2011,112399,91381
2011,98330,91384
2011,83102,91387
2011,113537,91390
2011,47776,91401
2011,41467,91402
2011,76727,91403
2011,37324,91405
2011,50178,91406
2011,43695,91411
2011,73947,91423
2011,138676,91436
2011,62051,91501
2011,40515,91502
2011,71433,91504
2011,72924,91505
2011,74444,91506
2011,49784,91601
2011,65475,91602
2011,86475,91604
2011,42685,91605
2011,42191,91606
2011,59947,91607
2011,,91608
2011,80310,91701
2011,56190,91702
2011,51963,91706
2011,125515,91708
2011,101905,91709
2011,72705,91710
2011,82623,91711
2011,68267,91722
2011,62823,91723
2011,81585,91724
2011,63151,91730
2011,38551,91731
2011,44961,91732
2011,42191,91733
2011,97731,91737
2011,101071,91739
2011,70673,91740
2011,82831,91741
2011,55920,91744
2011,72601,91745
2011,62602,91746
2011,62495,91748
2011,78455,91750
2011,63551,91752
2011,51164,91754
2011,52458,91755
2011,71667,91759
2011,62191,91761
2011,52565,91762
2011,51016,91763
2011,52115,91764
2011,92627,91765
2011,50873,91766
2011,51336,91767
2011,50670,91768
2011,49477,91770
2011,74351,91773
2011,77352,91775
2011,52109,91776
2011,66750,91780
2011,100759,91784
2011,55964,91786
2011,90637,91789
2011,66459,91790
2011,72578,91791
2011,68682,91792
2011,49996,91801
2011,57480,91803
2011,77064,91901
2011,78187,91902
2011,80375,91905
2011,57917,91906
2011,56510,91910
2011,48386,91911
2011,89737,91913
2011,105462,91914
2011,94812,91915
2011,54929,91916
2011,60385,91917
2011,40662,91931
2011,45480,91932
2011,87628,91934
2011,101336,91935
2011,71528,91941
2011,52752,91942
2011,50512,91945
2011,35179,91948
2011,37072,91950
2011,75737,91962
2011,36393,91963
2011,61656,91977
2011,72579,91978
2011,,91980
2011,77042,92003
2011,41064,92004
2011,87857,92007
2011,62957,92008
2011,101170,92009
2011,87442,92010
2011,96329,92011
2011,126901,92014
2011,75715,92019
2011,49444,92020
2011,52909,92021
2011,88615,92024
2011,45998,92025
2011,58196,92026
2011,56857,92027
2011,66508,92028
2011,75304,92029
2011,65670,92036
2011,96519,92037
2011,65128,92040
2011,51105,92054
2011,47197,92055
2011,70057,92056
2011,70256,92057
2011,49986,92058
2011,92703,92059
2011,76250,92060
2011,51354,92061
2011,94724,92064
2011,77594,92065
2011,41779,92066
2011,148245,92067
2011,53060,92069
2011,51488,92070
2011,69828,92071
2011,84893,92075
2011,58367,92078
2011,60818,92081
2011,77264,92082
2011,48118,92083
2011,52293,92084
2011,38828,92086
2011,96932,92091
2011,52602,92101
2011,39258,92102
2011,58292,92103
2011,46888,92104
2011,35564,92105
2011,82762,92106
2011,60673,92107
2011,63826,92108
2011,63474,92109
2011,56166,92110
2011,56641,92111
2011,28437,92113
2011,54614,92114
2011,43567,92115
2011,51117,92116
2011,64690,92117
2011,93777,92118
2011,70536,92119
2011,79958,92120
2011,102391,92121
2011,72671,92122
2011,69962,92123
2011,76449,92124
2011,81266,92126
2011,117016,92127
2011,89657,92128
2011,106153,92129
2011,124229,92130
2011,127009,92131
2011,,92132
2011,,92134
2011,,92135
2011,61446,92139
2011,,92140
2011,218094,92145
2011,,92147
2011,55085,92154
2011,,92155
2011,36048,92173
2011,43415,92201
2011,76695,92203
2011,110948,92210
2011,62495,92211
2011,38397,92220
2011,,92222
2011,61716,92223
2011,43117,92225
2011,38565,92227
2011,30288,92230
2011,35992,92231
2011,35952,92233
2011,45088,92234
2011,43750,92236
2011,57083,92239
2011,34700,92240
2011,38765,92241
2011,29911,92242
2011,39754,92243
2011,52668,92249
2011,46359,92250
2011,56192,92251
2011,43718,92252
2011,78150,92253
2011,26661,92254
2011,38203,92256
2011,16218,92257
2011,25775,92258
2011,18750,92259
2011,50087,92260
2011,44760,92262
2011,46850,92264
2011,31509,92266
2011,,92267
2011,31645,92268
2011,76261,92270
2011,34432,92273
2011,31296,92274
2011,24871,92275
2011,43508,92276
2011,42544,92277
2011,88889,92278
2011,,92280
