Year,Unemployment_rate,Below high school,High school,College/associate degree,Bachelor's degree,zipcode
2011,6.3,0,0,0,0,89010
2011,1.5,0,0,0,0,89019
2011,21,0,0,0,0,89060
2011,16.6,0,0,0,0,89061
2011,7.2,0,0,0,0,89439
2011,10,0,0,0,0,90001
2011,8.9,0,0,0,0,90002
2011,12,0,0,0,0,90003
2011,11.2,0,0,0,0,90004
2011,11.2,0,0,0,0,90005
2011,12.3,0,0,0,0,90006
2011,12.2,0,0,0,0,90007
2011,12.6,0,0,0,0,90008
2011,9.3,0,0,0,0,90010
2011,9,0,0,0,0,90011
2011,7.8,0,0,0,0,90012
2011,20.9,0,0,0,0,90013
2011,14.4,0,0,0,0,90014
2011,10.7,0,0,0,0,90015
2011,11.7,0,0,0,0,90016
2011,8.2,0,0,0,0,90017
2011,12.9,0,0,0,0,90018
2011,10.1,0,0,0,0,90019
2011,11,0,0,0,0,90020
2011,19.2,0,0,0,0,90021
2011,11.4,0,0,0,0,90022
2011,8.1,0,0,0,0,90023
2011,9.1,0,0,0,0,90024
2011,7.5,0,0,0,0,90025
2011,13.4,0,0,0,0,90026
2011,9.5,0,0,0,0,90027
2011,11.2,0,0,0,0,90028
2011,11.9,0,0,0,0,90029
2011,11.8,0,0,0,0,90031
2011,13,0,0,0,0,90032
2011,14.4,0,0,0,0,90033
2011,7.8,0,0,0,0,90034
2011,10.3,0,0,0,0,90035
2011,7.6,0,0,0,0,90036
2011,15.5,0,0,0,0,90037
2011,13.8,0,0,0,0,90038
2011,10.4,0,0,0,0,90039
2011,10.9,0,0,0,0,90040
2011,8.1,0,0,0,0,90041
2011,11.1,0,0,0,0,90042
2011,13,0,0,0,0,90043
2011,12.9,0,0,0,0,90044
2011,7.6,0,0,0,0,90045
2011,10.1,0,0,0,0,90046
2011,13.3,0,0,0,0,90047
2011,7.1,0,0,0,0,90048
2011,5.7,0,0,0,0,90049
2011,5.7,0,0,0,0,90056
2011,11.8,0,0,0,0,90057
2011,20.3,0,0,0,0,90058
2011,15.7,0,0,0,0,90059
2011,14.3,0,0,0,0,90061
2011,13.2,0,0,0,0,90062
2011,11.4,0,0,0,0,90063
2011,6.1,0,0,0,0,90064
2011,8.3,0,0,0,0,90065
2011,8,0,0,0,0,90066
2011,6.3,0,0,0,0,90067
2011,9.1,0,0,0,0,90068
2011,7.8,0,0,0,0,90069
2011,0,0,0,0,0,90071
2011,26.4,0,0,0,0,90073
2011,6.4,0,0,0,0,90077
2011,0,0,0,0,0,90079
2011,9,0,0,0,0,90089
2011,0,0,0,0,0,90090
2011,15.7,0,0,0,0,90094
2011,0,0,0,0,0,90095
2011,10.4,0,0,0,0,90201
2011,5.4,0,0,0,0,90210
2011,9.8,0,0,0,0,90211
2011,9,0,0,0,0,90212
2011,15.6,0,0,0,0,90220
2011,14.9,0,0,0,0,90221
2011,13.6,0,0,0,0,90222
2011,8.9,0,0,0,0,90230
2011,7.6,0,0,0,0,90232
2011,7.1,0,0,0,0,90240
2011,11.9,0,0,0,0,90241
2011,11,0,0,0,0,90242
2011,5.4,0,0,0,0,90245
2011,10.7,0,0,0,0,90247
2011,10.4,0,0,0,0,90248
2011,10.2,0,0,0,0,90249
2011,7.7,0,0,0,0,90250
2011,5.7,0,0,0,0,90254
2011,11.4,0,0,0,0,90255
2011,11.2,0,0,0,0,90260
2011,11.8,0,0,0,0,90262
2011,5,0,0,0,0,90263
2011,7.3,0,0,0,0,90265
2011,4.6,0,0,0,0,90266
2011,12.1,0,0,0,0,90270
2011,9.5,0,0,0,0,90272
2011,4.3,0,0,0,0,90274
2011,5.9,0,0,0,0,90275
2011,4.9,0,0,0,0,90277
2011,6.3,0,0,0,0,90278
2011,13.2,0,0,0,0,90280
2011,6.2,0,0,0,0,90290
2011,8.8,0,0,0,0,90291
2011,6.5,0,0,0,0,90292
2011,4,0,0,0,0,90293
2011,12.5,0,0,0,0,90301
2011,8.5,0,0,0,0,90302
2011,10.6,0,0,0,0,90303
2011,9.1,0,0,0,0,90304
2011,10.3,0,0,0,0,90305
2011,8.9,0,0,0,0,90401
2011,4.7,0,0,0,0,90402
2011,5.8,0,0,0,0,90403
2011,9.2,0,0,0,0,90404
2011,9.8,0,0,0,0,90405
2011,10.9,0,0,0,0,90501
2011,10,0,0,0,0,90502
2011,7.3,0,0,0,0,90503
2011,8.8,0,0,0,0,90504
2011,6.7,0,0,0,0,90505
2011,0,0,0,0,0,90506
2011,10,0,0,0,0,90601
2011,10.5,0,0,0,0,90602
2011,4.7,0,0,0,0,90603
2011,9,0,0,0,0,90604
2011,8.4,0,0,0,0,90605
2011,11.2,0,0,0,0,90606
2011,7.5,0,0,0,0,90620
2011,7,0,0,0,0,90621
2011,5.2,0,0,0,0,90623
2011,6.3,0,0,0,0,90630
2011,7.7,0,0,0,0,90631
2011,7.7,0,0,0,0,90638
2011,9.2,0,0,0,0,90640
2011,11.1,0,0,0,0,90650
2011,8.5,0,0,0,0,90660
2011,10.4,0,0,0,0,90670
2011,11.2,0,0,0,0,90680
2011,8.6,0,0,0,0,90701
2011,8.1,0,0,0,0,90703
2011,6.8,0,0,0,0,90704
2011,8.4,0,0,0,0,90706
2011,8.9,0,0,0,0,90710
2011,7.4,0,0,0,0,90712
2011,6.7,0,0,0,0,90713
2011,9.4,0,0,0,0,90715
2011,6.7,0,0,0,0,90716
2011,6.5,0,0,0,0,90717
2011,6.1,0,0,0,0,90720
2011,11.2,0,0,0,0,90723
2011,10.4,0,0,0,0,90731
2011,6.7,0,0,0,0,90732
2011,6.7,0,0,0,0,90740
2011,10.9,0,0,0,0,90742
2011,0,0,0,0,0,90743
2011,14.8,0,0,0,0,90744
2011,11.4,0,0,0,0,90745
2011,12.3,0,0,0,0,90746
2011,0,0,0,0,0,90747
2011,12.2,0,0,0,0,90755
2011,9.7,0,0,0,0,90802
2011,7,0,0,0,0,90803
2011,12.4,0,0,0,0,90804
2011,14.5,0,0,0,0,90805
2011,12.9,0,0,0,0,90806
2011,7.7,0,0,0,0,90807
2011,8.2,0,0,0,0,90808
2011,13.9,0,0,0,0,90810
2011,14.5,0,0,0,0,90813
2011,7.3,0,0,0,0,90814
2011,7.4,0,0,0,0,90815
2011,0,0,0,0,0,90822
2011,0,0,0,0,0,90831
2011,9.1,0,0,0,0,91001
2011,5.4,0,0,0,0,91006
2011,5.3,0,0,0,0,91007
2011,5,0,0,0,0,91008
2011,8.5,0,0,0,0,91010
2011,5.8,0,0,0,0,91011
2011,6.4,0,0,0,0,91016
2011,4.7,0,0,0,0,91020
2011,8.4,0,0,0,0,91024
2011,6.4,0,0,0,0,91030
2011,8.2,0,0,0,0,91040
2011,7.9,0,0,0,0,91042
2011,0,0,0,0,0,91046
2011,7.6,0,0,0,0,91101
2011,9.7,0,0,0,0,91103
2011,9.5,0,0,0,0,91104
2011,9.7,0,0,0,0,91105
2011,7.5,0,0,0,0,91106
2011,7.4,0,0,0,0,91107
2011,3.8,0,0,0,0,91108
2011,9.4,0,0,0,0,91201
2011,8.3,0,0,0,0,91202
2011,12.8,0,0,0,0,91203
2011,11.6,0,0,0,0,91204
2011,12.7,0,0,0,0,91205
2011,10,0,0,0,0,91206
2011,3.3,0,0,0,0,91207
2011,5.8,0,0,0,0,91208
2011,0,0,0,0,0,91210
2011,6.7,0,0,0,0,91214
2011,7.8,0,0,0,0,91301
2011,6.9,0,0,0,0,91302
2011,8,0,0,0,0,91303
2011,7.6,0,0,0,0,91304
2011,9.4,0,0,0,0,91306
2011,8.2,0,0,0,0,91307
2011,8.2,0,0,0,0,91311
2011,6.9,0,0,0,0,91316
2011,7,0,0,0,0,91320
2011,9.2,0,0,0,0,91321
2011,11.3,0,0,0,0,91324
2011,8.5,0,0,0,0,91325
2011,6.4,0,0,0,0,91326
2011,25.3,0,0,0,0,91330
2011,11.1,0,0,0,0,91331
2011,9.5,0,0,0,0,91335
2011,11.9,0,0,0,0,91340
2011,10.3,0,0,0,0,91342
2011,9.9,0,0,0,0,91343
2011,10.1,0,0,0,0,91344
2011,8.5,0,0,0,0,91345
2011,10,0,0,0,0,91350
2011,8,0,0,0,0,91351
2011,10.7,0,0,0,0,91352
2011,8,0,0,0,0,91354
2011,8.9,0,0,0,0,91355
2011,8.6,0,0,0,0,91356
2011,8.1,0,0,0,0,91360
2011,7.7,0,0,0,0,91361
2011,7.6,0,0,0,0,91362
2011,8.6,0,0,0,0,91364
2011,6.2,0,0,0,0,91367
2011,0,0,0,0,0,91371
2011,8,0,0,0,0,91377
2011,6.8,0,0,0,0,91381
2011,10,0,0,0,0,91384
2011,10.1,0,0,0,0,91387
2011,6.8,0,0,0,0,91390
2011,10,0,0,0,0,91401
2011,12.5,0,0,0,0,91402
2011,5.6,0,0,0,0,91403
2011,11.9,0,0,0,0,91405
2011,8.6,0,0,0,0,91406
2011,9.8,0,0,0,0,91411
2011,9.1,0,0,0,0,91423
2011,6.9,0,0,0,0,91436
2011,8.9,0,0,0,0,91501
2011,10.3,0,0,0,0,91502
2011,6,0,0,0,0,91504
2011,7.9,0,0,0,0,91505
2011,7.4,0,0,0,0,91506
2011,11.2,0,0,0,0,91601
2011,12.5,0,0,0,0,91602
2011,9.8,0,0,0,0,91604
2011,12.4,0,0,0,0,91605
2011,12.5,0,0,0,0,91606
2011,12.5,0,0,0,0,91607
2011,0,0,0,0,0,91608
2011,8.5,0,0,0,0,91701
2011,9.3,0,0,0,0,91702
2011,12.4,0,0,0,0,91706
2011,7.6,0,0,0,0,91708
2011,9.6,0,0,0,0,91709
2011,10.1,0,0,0,0,91710
2011,8.7,0,0,0,0,91711
2011,12.1,0,0,0,0,91722
2011,10.7,0,0,0,0,91723
2011,10.3,0,0,0,0,91724
2011,9.8,0,0,0,0,91730
2011,12.2,0,0,0,0,91731
2011,11.6,0,0,0,0,91732
2011,8.8,0,0,0,0,91733
2011,7.9,0,0,0,0,91737
2011,9.1,0,0,0,0,91739
2011,7.5,0,0,0,0,91740
2011,8.2,0,0,0,0,91741
2011,7.4,0,0,0,0,91744
2011,7.5,0,0,0,0,91745
2011,11.8,0,0,0,0,91746
2011,6.1,0,0,0,0,91748
2011,8.9,0,0,0,0,91750
2011,13.5,0,0,0,0,91752
2011,7.9,0,0,0,0,91754
2011,9.2,0,0,0,0,91755
2011,4.4,0,0,0,0,91759
2011,12.8,0,0,0,0,91761
2011,13.1,0,0,0,0,91762
2011,14.4,0,0,0,0,91763
2011,14.6,0,0,0,0,91764
2011,5.5,0,0,0,0,91765
2011,13.1,0,0,0,0,91766
2011,11.4,0,0,0,0,91767
2011,10.1,0,0,0,0,91768
2011,9.8,0,0,0,0,91770
2011,6.8,0,0,0,0,91773
2011,5.7,0,0,0,0,91775
2011,7.5,0,0,0,0,91776
2011,6.2,0,0,0,0,91780
2011,7.7,0,0,0,0,91784
2011,11.2,0,0,0,0,91786
2011,6.5,0,0,0,0,91789
2011,12.9,0,0,0,0,91790
2011,10.2,0,0,0,0,91791
2011,9.4,0,0,0,0,91792
2011,7.8,0,0,0,0,91801
2011,7.6,0,0,0,0,91803
2011,8,0,0,0,0,91901
2011,6.2,0,0,0,0,91902
2011,10.1,0,0,0,0,91905
2011,8.7,0,0,0,0,91906
2011,12,0,0,0,0,91910
2011,14.2,0,0,0,0,91911
2011,7.1,0,0,0,0,91913
2011,6.7,0,0,0,0,91914
2011,3.8,0,0,0,0,91915
2011,10.2,0,0,0,0,91916
2011,0,0,0,0,0,91917
2011,20.3,0,0,0,0,91931
2011,11.5,0,0,0,0,91932
2011,0,0,0,0,0,91934
2011,7.1,0,0,0,0,91935
2011,8.1,0,0,0,0,91941
2011,9.4,0,0,0,0,91942
2011,9.8,0,0,0,0,91945
2011,0,0,0,0,0,91948
2011,11.6,0,0,0,0,91950
2011,4.6,0,0,0,0,91962
2011,6.3,0,0,0,0,91963
2011,11.9,0,0,0,0,91977
2011,12.7,0,0,0,0,91978
2011,0,0,0,0,0,91980
2011,7.4,0,0,0,0,92003
2011,6.7,0,0,0,0,92004
2011,4.4,0,0,0,0,92007
2011,8.6,0,0,0,0,92008
2011,7.8,0,0,0,0,92009
2011,7,0,0,0,0,92010
2011,6,0,0,0,0,92011
2011,3.2,0,0,0,0,92014
2011,11.4,0,0,0,0,92019
2011,12.8,0,0,0,0,92020
2011,9.5,0,0,0,0,92021
2011,7,0,0,0,0,92024
2011,8.1,0,0,0,0,92025
2011,8.2,0,0,0,0,92026
2011,8.7,0,0,0,0,92027
2011,9.8,0,0,0,0,92028
2011,10.3,0,0,0,0,92029
2011,6.3,0,0,0,0,92036
2011,8,0,0,0,0,92037
2011,10,0,0,0,0,92040
2011,9.5,0,0,0,0,92054
2011,14.3,0,0,0,0,92055
2011,9.3,0,0,0,0,92056
2011,11.9,0,0,0,0,92057
2011,9.4,0,0,0,0,92058
2011,8.4,0,0,0,0,92059
2011,0,0,0,0,0,92060
